epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,973.421,1.18921,2.67306,1.69771,1.63329,0.77419,0.51272,0.58696,0.4187,0.75619,0.49541,0.55552,0.36124,1.20894,2.81875,1.73818,1.66542,0.000580174,0.000580174,0.000580174
92,983.917,1.2267,2.6881,1.71475,1.65608,0.76897,0.50155,0.57446,0.40956,0.75869,0.48414,0.54722,0.34088,1.22382,2.87652,1.76943,1.69316,0.000570743,0.000570743,0.000570743
93,994.423,1.19161,2.70755,1.69299,1.62174,0.7826,0.52081,0.59386,0.4226,0.81112,0.48144,0.56178,0.36269,1.25101,2.86381,1.7033,1.72112,0.000561311,0.000561311,0.000561311
94,1004.95,1.16441,2.63975,1.67416,1.5997,0.67486,0.53688,0.56825,0.39633,0.72869,0.47794,0.53691,0.3253,1.21283,2.95411,1.78226,1.69896,0.00055188,0.00055188,0.00055188
95,1015.45,1.17928,2.62938,1.67808,1.60616,0.65607,0.54533,0.57449,0.40269,0.74956,0.49304,0.54988,0.33501,1.23044,2.88899,1.79591,1.72058,0.000542448,0.000542448,0.000542448
96,1025.85,1.21885,2.64725,1.75828,1.64264,0.7122,0.53753,0.58688,0.42238,0.76241,0.50032,0.55969,0.36316,1.22966,2.76838,1.71974,1.69461,0.000533017,0.000533017,0.000533017
97,1036.31,1.19078,2.69256,1.6982,1.62055,0.7237,0.5432,0.59123,0.42454,0.69163,0.51627,0.56606,0.36297,1.21943,2.87665,1.73173,1.69957,0.000523586,0.000523586,0.000523586
98,1046.81,1.19731,2.6681,1.69046,1.62839,0.69964,0.50725,0.55087,0.38987,0.7168,0.48933,0.53113,0.331,1.2265,2.89038,1.90663,1.6857,0.000514154,0.000514154,0.000514154
99,1057.36,1.21066,2.70064,1.70352,1.64016,0.69783,0.50601,0.56217,0.40475,0.70303,0.51028,0.54108,0.35526,1.20057,2.75616,1.76575,1.69852,0.000504723,0.000504723,0.000504723
100,1067.81,1.17389,2.64677,1.62841,1.60673,0.74371,0.53855,0.59228,0.42359,0.73551,0.51745,0.56475,0.36437,1.22111,2.78237,1.67766,1.71158,0.000495291,0.000495291,0.000495291
101,1078.32,1.17385,2.59748,1.64549,1.59995,0.75464,0.501,0.58626,0.43443,0.74491,0.49339,0.55975,0.37306,1.17462,2.77935,1.79623,1.63585,0.00048586,0.00048586,0.00048586
102,1088.76,1.14978,2.58629,1.64811,1.58897,0.72754,0.51675,0.57112,0.41255,0.71518,0.51052,0.54559,0.35364,1.22352,2.82183,1.70323,1.69861,0.000476429,0.000476429,0.000476429
103,1099.2,1.18191,2.58758,1.66476,1.60187,0.74394,0.51627,0.58845,0.42896,0.72643,0.50607,0.56164,0.35422,1.18693,2.88581,1.71446,1.64592,0.000466997,0.000466997,0.000466997
104,1109.7,1.2026,2.72946,1.70355,1.61996,0.77466,0.53096,0.59416,0.42787,0.76183,0.51019,0.55828,0.36664,1.21727,2.8298,1.73435,1.68551,0.000457566,0.000457566,0.000457566
105,1120.18,1.14014,2.57756,1.59358,1.59111,0.81637,0.51169,0.60453,0.43653,0.81613,0.50134,0.5783,0.37068,1.18633,2.8166,1.68602,1.66153,0.000448134,0.000448134,0.000448134
106,1130.67,1.16347,2.591,1.64021,1.59113,0.78847,0.52862,0.60875,0.4445,0.77242,0.51842,0.5839,0.38312,1.16639,2.77647,1.67259,1.639,0.000438703,0.000438703,0.000438703
107,1141.15,1.16983,2.64178,1.66067,1.60592,0.81173,0.49601,0.59271,0.42687,0.75716,0.50002,0.55955,0.35427,1.20276,2.82656,1.74191,1.68089,0.000429272,0.000429272,0.000429272
108,1151.63,1.18026,2.67461,1.63871,1.61325,0.74906,0.54278,0.60864,0.442,0.80348,0.50772,0.58747,0.38239,1.18918,2.75085,1.67023,1.65362,0.00041984,0.00041984,0.00041984
109,1162.12,1.18318,2.609,1.61574,1.61128,0.7946,0.52212,0.60766,0.4412,0.82858,0.50775,0.58756,0.38032,1.19093,2.78801,1.71799,1.63483,0.000410409,0.000410409,0.000410409
110,1172.58,1.18221,2.60956,1.64046,1.5957,0.75461,0.53676,0.59403,0.4341,0.7605,0.5164,0.57595,0.36961,1.17062,2.82655,1.67918,1.64568,0.000400977,0.000400977,0.000400977
111,1183.05,1.17591,2.63599,1.63428,1.59693,0.81389,0.5013,0.60376,0.4475,0.84396,0.50479,0.58612,0.38919,1.14625,2.741,1.66258,1.60874,0.000391546,0.000391546,0.000391546
112,1193.5,1.14604,2.63532,1.62295,1.58335,0.76097,0.52429,0.59705,0.42617,0.75966,0.52565,0.58329,0.36782,1.1728,2.7216,1.68958,1.63934,0.000382115,0.000382115,0.000382115
113,1203.97,1.15261,2.5993,1.63843,1.59605,0.82325,0.50795,0.60366,0.43697,0.80869,0.49052,0.57641,0.35408,1.18856,2.92322,1.66001,1.64063,0.000372683,0.000372683,0.000372683
114,1214.45,1.17229,2.60589,1.58938,1.60582,0.75479,0.52765,0.5933,0.43939,0.74509,0.51165,0.5714,0.37636,1.17983,2.73666,1.69713,1.62916,0.000363252,0.000363252,0.000363252
115,1225.13,1.14836,2.60602,1.60438,1.5846,0.73749,0.56305,0.60498,0.43781,0.77756,0.51767,0.57919,0.36869,1.16339,2.80231,1.69043,1.6413,0.00035382,0.00035382,0.00035382
116,1235.61,1.16679,2.59952,1.62584,1.59219,0.78097,0.53315,0.6021,0.43804,0.77597,0.51146,0.57292,0.37079,1.1583,2.78773,1.65868,1.65175,0.000344389,0.000344389,0.000344389
117,1246.18,1.13964,2.54504,1.59193,1.57309,0.77717,0.52981,0.60561,0.44253,0.75855,0.51364,0.57873,0.37767,1.16703,2.74834,1.67489,1.62188,0.000334958,0.000334958,0.000334958
118,1256.65,1.13834,2.60335,1.62093,1.56197,0.83063,0.53302,0.61079,0.44581,0.8339,0.50154,0.58295,0.38566,1.1556,2.765,1.63808,1.60003,0.000325526,0.000325526,0.000325526
119,1267.12,1.1197,2.50679,1.59841,1.57444,0.75016,0.52015,0.59338,0.43336,0.75072,0.51183,0.56669,0.36188,1.16065,2.83793,1.70082,1.62177,0.000316095,0.000316095,0.000316095
120,1277.61,1.1128,2.53161,1.54248,1.54551,0.75735,0.54294,0.60322,0.46144,0.76116,0.5183,0.57483,0.38729,1.12237,2.7954,1.60372,1.59213,0.000306663,0.000306663,0.000306663
121,1288.11,1.09227,2.5368,1.51903,1.54836,0.80985,0.50311,0.60604,0.4474,0.82061,0.49657,0.58343,0.39094,1.1357,2.76256,1.66793,1.58601,0.000297232,0.000297232,0.000297232
122,1298.58,1.16688,2.58285,1.63522,1.60403,0.81056,0.53058,0.61095,0.45869,0.7959,0.51959,0.58848,0.3874,1.13499,2.81135,1.6388,1.59671,0.000287801,0.000287801,0.000287801
123,1309.07,1.09217,2.56901,1.54565,1.54656,0.72692,0.55423,0.60022,0.44011,0.69049,0.52188,0.5679,0.36835,1.12602,2.77091,1.68245,1.58921,0.000278369,0.000278369,0.000278369
124,1319.52,1.14694,2.55692,1.55765,1.59171,0.75876,0.54411,0.61889,0.46972,0.8509,0.49629,0.58776,0.3946,1.10084,2.76265,1.62617,1.57961,0.000268938,0.000268938,0.000268938
125,1329.97,1.12616,2.5146,1.53301,1.56609,0.82971,0.50382,0.60514,0.44215,0.83265,0.48933,0.57147,0.36958,1.15241,2.77014,1.65265,1.61218,0.000259506,0.000259506,0.000259506
126,1340.48,1.10778,2.51479,1.52358,1.54812,0.8058,0.49953,0.59277,0.43755,0.85098,0.4831,0.56811,0.36312,1.13963,2.81174,1.66764,1.5988,0.000250075,0.000250075,0.000250075
