epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,3275.5,0.46574,0.95426,0.42121,1.03415,0,0.78052,0.62758,0.69647,0.57083,0.76478,0.61729,0.67955,0.52724,0.81251,2.70175,1.30757,1.30397,0,0.00264594,0.000881979,0.00264594,0.000881979,0.00264594,0.000881979,0.00264594,0.000881979
60,3330.76,0.48974,0.92375,0.43117,1.04924,0,0.82583,0.62272,0.70616,0.56611,0.80817,0.60807,0.68021,0.51807,0.79864,2.68251,1.26386,1.2649,0,0.00261764,0.000872547,0.00261764,0.000872547,0.00261764,0.000872547,0.00261764,0.000872547
61,3386.33,0.47043,0.92742,0.43204,1.03668,0,0.78406,0.63891,0.70688,0.57765,0.77525,0.63313,0.69702,0.52138,0.7635,2.64992,1.27969,1.24197,0,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
62,3441.27,0.48029,0.92086,0.43994,1.04073,0,0.77136,0.63734,0.69473,0.56185,0.79595,0.61063,0.67247,0.50472,0.80634,2.65068,1.29148,1.28524,0,0.00256105,0.000853685,0.00256105,0.000853685,0.00256105,0.000853685,0.00256105,0.000853685
63,3496.48,0.46648,0.88943,0.41218,1.03804,0,0.76291,0.66022,0.68259,0.54208,0.74655,0.66067,0.67353,0.49855,0.84309,2.74547,1.30342,1.31135,0,0.00253276,0.000844253,0.00253276,0.000844253,0.00253276,0.000844253,0.00253276,0.000844253
64,3551.61,0.4802,0.89395,0.42172,1.0397,0,0.80237,0.63252,0.70299,0.54749,0.79041,0.6235,0.68185,0.50104,0.87349,2.8239,1.21516,1.35985,0,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
65,3607,0.46956,0.86612,0.40878,1.03106,0,0.76311,0.65788,0.70688,0.55412,0.81814,0.58833,0.67613,0.50981,0.87542,2.79842,1.31011,1.36647,0,0.00247617,0.00082539,0.00247617,0.00082539,0.00247617,0.00082539,0.00247617,0.00082539
66,3662.28,0.4635,0.90572,0.40368,1.02998,0,0.77577,0.66337,0.70622,0.55839,0.81117,0.62319,0.68222,0.50369,0.88551,2.71808,1.27013,1.38522,0,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959
67,3717.58,0.47951,0.91917,0.41731,1.04003,0,0.81928,0.63121,0.68915,0.55017,0.79388,0.62606,0.67648,0.49449,0.82683,2.72116,1.24016,1.33472,0,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
68,3772.51,0.46127,0.85817,0.41147,1.01731,0,0.76578,0.6574,0.69459,0.54876,0.75123,0.64751,0.68095,0.49743,0.87401,3.00396,1.30302,1.40643,0,0.00239129,0.000797096,0.00239129,0.000797096,0.00239129,0.000797096,0.00239129,0.000797096
