epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,2990.11,0.47725,0.42932,1.01947,0.81621,0.63075,0.70516,0.55446,0.96597,1.89522,1.44538,0.00193858,0.000646194,0.00193858,0.000646194,0.00193858,0.000646194,0.00193858,0.000646194
85,3025.44,0.46673,0.40919,1.01443,0.80111,0.62776,0.67956,0.53203,0.96909,2.00085,1.43372,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
86,3060.58,0.47856,0.41309,1.03342,0.80735,0.60983,0.687,0.5432,0.99305,1.96951,1.48873,0.00188199,0.000627331,0.00188199,0.000627331,0.00188199,0.000627331,0.00188199,0.000627331
87,3095.93,0.48207,0.40798,1.02442,0.73466,0.63411,0.6811,0.53732,0.9659,2.02563,1.47019,0.0018537,0.0006179,0.0018537,0.0006179,0.0018537,0.0006179,0.0018537,0.0006179
88,3131.41,0.48518,0.42131,1.03841,0.82871,0.57313,0.68509,0.53096,0.97274,2.10169,1.48581,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
89,3166.69,0.47083,0.41401,1.02547,0.79759,0.59567,0.69086,0.53419,0.9539,1.97211,1.48425,0.00179711,0.000599037,0.00179711,0.000599037,0.00179711,0.000599037,0.00179711,0.000599037
90,3201.82,0.47083,0.39911,1.01062,0.78193,0.62491,0.70246,0.55377,0.93361,2.06082,1.43339,0.00176882,0.000589605,0.00176882,0.000589605,0.00176882,0.000589605,0.00176882,0.000589605
91,3237.13,0.47681,0.43123,1.01532,0.75855,0.61471,0.68969,0.53306,0.97976,2.07351,1.43561,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
92,3272.28,0.45353,0.39304,1.0047,0.7682,0.63196,0.68619,0.5339,0.98328,1.98209,1.45362,0.00171223,0.000570743,0.00171223,0.000570743,0.00171223,0.000570743,0.00171223,0.000570743
93,3308.01,0.45857,0.39965,0.99715,0.78907,0.6079,0.68252,0.54364,0.97557,2.05264,1.46419,0.00168393,0.000561311,0.00168393,0.000561311,0.00168393,0.000561311,0.00168393,0.000561311
94,3343.13,0.47793,0.40387,1.02179,0.81349,0.60663,0.69919,0.57183,0.9287,2.0029,1.4232,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
95,3378.5,0.45641,0.37065,1.00396,0.8339,0.6144,0.70927,0.57945,0.91888,1.88439,1.42755,0.00162735,0.000542448,0.00162735,0.000542448,0.00162735,0.000542448,0.00162735,0.000542448
96,3413.8,0.47614,0.41332,1.01629,0.84488,0.5718,0.69787,0.56493,0.90611,1.88265,1.3933,0.00159905,0.000533017,0.00159905,0.000533017,0.00159905,0.000533017,0.00159905,0.000533017
97,3449.11,0.46242,0.39056,1.00374,0.85174,0.58968,0.69011,0.55765,0.92832,1.96853,1.43136,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
98,3484.63,0.46704,0.39047,1.00335,0.79098,0.61826,0.66924,0.52422,0.94515,1.99055,1.43357,0.00154246,0.000514154,0.00154246,0.000514154,0.00154246,0.000514154,0.00154246,0.000514154
99,3519.95,0.45744,0.38721,1.00328,0.80256,0.62955,0.68629,0.53743,0.95989,1.94347,1.43464,0.00151417,0.000504723,0.00151417,0.000504723,0.00151417,0.000504723,0.00151417,0.000504723
100,3555.1,0.45421,0.37667,1.00833,0.78672,0.63242,0.69073,0.54712,0.95013,1.9338,1.44413,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
101,3590.38,0.45111,0.36941,1.00159,0.79892,0.61102,0.68278,0.53424,0.95319,1.90469,1.44679,0.00145758,0.00048586,0.00145758,0.00048586,0.00145758,0.00048586,0.00145758,0.00048586
